ids,targets,gr_scores,drgnn_scores,hs_scores
T29_0_conv.pdb,0,0.219369,0.002169,-66.653100
T29_1000_conv.pdb,0,0.239211,0.033626,-65.607800
T29_1001_conv.pdb,0,0.031867,0.005455,-76.415060
T29_1002_conv.pdb,0,0.202239,-0.000208,9.465150
T29_1003_conv.pdb,0,0.009394,0.013418,-50.942960
T29_1004_conv.pdb,0,0.093107,0.015938,2033.223310
T29_1005_conv.pdb,0,0.338693,0.019781,-70.033180
T29_1006_conv.pdb,0,0.008321,0.003569,-43.919610
T29_1007_conv.pdb,0,0.282307,0.017972,-34.997820
T29_1008_conv.pdb,0,0.114556,0.012893,-3.400520
T29_1009_conv.pdb,0,0.273692,0.296157,-30.930770
T29_100_conv.pdb,0,0.108968,0.010943,2393.021160
T29_1010_conv.pdb,0,0.135548,0.057260,-66.671200
T29_1011_conv.pdb,0,0.041128,0.008493,-105.691630
T29_1012_conv.pdb,0,0.174800,0.160603,-42.111060
T29_1013_conv.pdb,0,0.037955,0.281425,-65.414349
T29_1014_conv.pdb,0,0.113068,0.017803,10486.268880
T29_1015_conv.pdb,0,0.721908,0.156300,-208.075000
T29_1016_conv.pdb,0,0.139221,0.018197,-6.244070
T29_1017_conv.pdb,0,0.215939,0.004346,-111.362710
T29_1018_conv.pdb,0,0.480696,-0.004671,-188.384190
T29_1019_conv.pdb,0,0.048908,0.014768,-27.623990
T29_101_conv.pdb,0,0.163625,0.015745,-100.152200
T29_1020_conv.pdb,0,0.193542,0.019279,487.668407
T29_1022_conv.pdb,0,0.221859,0.077467,4152.220100
T29_1023_conv.pdb,0,0.039990,0.009846,-74.841710
T29_1024_conv.pdb,0,0.018854,0.015981,-80.615120
T29_1025_conv.pdb,0,0.235256,0.021205,-71.840300
T29_1026_conv.pdb,0,0.007051,0.011819,-32.094930
T29_1027_conv.pdb,0,0.443223,0.018006,22.298890
T29_1028_conv.pdb,0,0.490648,0.266372,-114.921400
T29_1029_conv.pdb,0,0.017251,0.008911,-41.669900
T29_102_conv.pdb,1,0.645151,0.226837,-149.822600
T29_1030_conv.pdb,0,0.170006,0.012493,-35.525883
T29_1031_conv.pdb,0,0.072544,-0.014213,-79.919330
T29_1032_conv.pdb,0,0.227025,0.014391,-96.047540
T29_1033_conv.pdb,0,0.457844,0.018330,4.455890
T29_1034_conv.pdb,1,0.456352,0.078130,-90.665800
T29_1035_conv.pdb,0,0.363172,0.008777,-54.118630
